year,month,day,hour,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013,4,18,5,6.0,28.0,300.0,54.0,6.3,1018.4,-10.0,0.0,NNE,2.2,0
2015,9,5,9,2.0,28.0,700.0,89.0,17.8,1006.2,17.5,2.3,ESE,2.2,0
2015,5,30,0,7.0,52.0,700.0,63.0,22.5,1000.1,15.1,0.0,NW,0.0,5
2016,3,20,0,7.0,32.0,500.0,56.0,8.6,1020.8,-4.9,0.0,NW,0.7,4
2015,8,20,4,2.0,6.0,400.0,47.0,18.6,1000.8,17.3,0.0,NE,0.7,6
2015,3,19,10,10.0,105.0,1600.0,16.0,12.0,1015.1,-6.9,0.0,E,0.4,11
2013,11,14,13,4.0,8.0,200.0,84.609,14.2,1007.5,-11.3,0.0,WNW,2.3,6
2015,8,16,9,5.0,16.0,400.0,90.0,28.4,997.6,14.6,0.0,N,0.9,2
2015,1,2,15,22.0,48.0,600.0,53.0,4.0,1026.0,-18.9,0.0,S,2.2,7
2013,5,26,3,43.0,41.0,1200.0,64.0,20.4,1004.3,17.2,0.0,E,1.4,3
2014,10,13,21,3.0,67.0,900.0,2.0,6.4,1020.2,2.8,0.0,N,0.6,8
2015,11,24,13,11.0,54.0,900.0,16.0,-4.9,1034.5,-14.0,0.0,NE,1.5,4
2014,7,8,11,11.0,24.0,700.0,136.0,33.9,996.3,14.9,0.0,E,2.5,11
2015,8,20,17,2.0,13.0,600.0,190.0,32.3,997.3,17.8,0.0,SSW,2.0,5
2015,6,8,4,10.0,15.0,400.0,29.0,17.8,997.7,8.1,0.0,N,1.9,2
2015,6,29,19,2.0,28.0,500.0,27.0,19.8,999.2,16.8,0.0,WSW,1.4,6
2015,5,26,21,9.0,32.0,600.0,260.0,28.8,1001.1,13.5,0.0,S,3.1,8
2013,5,13,11,72.0,53.0,1700.0,86.0,23.9,998.7,2.1,0.0,ESE,2.7,7
2014,12,16,9,3.0,23.0,400.0,38.0,-3.1,1018.0,-19.5,0.0,NW,3.6,0
2015,12,3,21,7.0,29.0,500.0,28.0,-1.0,1019.3,-14.6,0.0,WSW,7.2,1
2013,10,30,5,1.0,47.0,400.0,2.9988,2.0,1025.4,-0.8,0.0,NE,0.7,8
2013,4,6,0,3.0,34.0,400.0,58.0,4.9,1016.9,-7.9,0.0,NE,2.1,10
2016,6,12,23,9.0,25.0,900.0,143.0,26.0,999.6,16.8,0.0,ENE,1.5,0
2014,9,30,23,9.0,79.0,1000.0,3.0,12.9,1016.4,4.1,0.0,ESE,1.9,9
2016,6,28,19,2.0,27.0,600.0,36.0,19.4,996.9,18.9,0.0,NNE,1.6,6
2015,5,4,7,2.0,45.0,400.0,25.0,10.1,1013.9,-3.6,0.0,WSW,0.3,10
2016,11,7,15,2.0,16.0,300.0,43.0,12.1,1020.8,-6.4,0.0,WNW,4.0,1
2016,2,6,15,8.0,8.0,400.0,80.0,7.2,1019.3,-19.5,0.0,WNW,3.1,5
2014,2,7,3,46.0,77.0,1300.0,11.0,-1.3,1022.7,-5.2,0.0,S,1.0,10
2016,2,25,17,14.0,33.0,900.0,69.0,6.8,1024.8,-16.6,0.0,WSW,3.3,0
2014,5,4,3,2.0,17.0,200.0,77.0,10.1,1013.5,-7.2,0.0,NW,4.0,7
2016,1,10,18,30.0,78.0,1700.0,11.0,-0.1,1029.1,-16.5,0.0,SSW,0.9,8
2014,6,2,20,2.0,13.0,200.0,117.0,20.8,1001.6,14.0,0.0,NW,0.8,2
2016,11,20,7,2.0,31.0,800.0,10.0,3.2,1017.0,2.6,0.9,WSW,1.5,6
2015,7,9,18,9.0,24.0,800.0,270.0,32.6,1004.5,15.6,0.0,S,2.2,10
2016,9,8,9,2.0,49.0,700.0,14.0,22.2,1003.7,16.7,0.0,E,0.9,7
2013,5,4,15,21.0,18.0,700.0,191.0,24.3,1005.3,6.5,0.0,SSE,2.6,2
2015,2,5,0,2.0,12.0,400.0,71.0,1.0,1024.0,-15.1,0.0,NNW,2.5,1
2013,9,10,18,6.0,57.0,500.0,53.0,22.5,1007.6,9.6,0.0,WNW,0.0,9
2015,7,30,6,2.0,15.0,600.0,65.0,24.7,995.1,21.6,0.0,NNE,0.6,2
2014,6,17,20,5.0,62.0,800.0,53.0,20.2,997.7,20.2,0.0,N,0.2,10
2016,10,24,15,3.0,64.0,1100.0,4.0,11.8,1011.3,7.3,0.0,E,1.4,3
2015,3,23,19,2.0,36.0,300.0,70.0,15.5,1023.0,-17.3,0.0,S,2.8,8
2015,7,1,5,2.0,63.0,600.0,2.0,16.8,991.7,15.7,0.0,N,0.5,10
2013,6,28,0,14.0,172.0,1899.0,2.0,27.2,993.7,19.5,0.0,ENE,1.2,11
2013,9,1,7,8.0,59.0,900.0,1.0,20.3,1009.0,15.1,0.0,NE,1.9,0
2016,6,11,8,3.0,23.0,500.0,64.0,24.8,999.8,9.5,0.0,WNW,4.6,1
2014,5,2,0,2.0,11.0,300.0,73.0,14.2,1008.9,-0.3,0.0,NW,5.0,8
2014,2,12,9,55.0,56.0,1300.0,20.0,-1.4,1029.9,-16.4,0.0,ENE,2.6,7
2014,6,24,21,6.0,35.0,1000.0,149.0,28.5,999.6,15.8,0.0,SSW,2.9,9
2015,9,8,14,11.0,19.0,700.0,169.0,27.4,1010.3,11.4,0.0,SSW,2.0,11
2013,11,26,15,3.0,4.0,500.0,64.0,5.7,1011.3,-20.7,0.0,WNW,4.0,11
2016,8,14,15,2.0,23.0,200.0,188.0,33.4,1001.4,17.6,0.0,E,1.9,0
2014,4,21,15,6.0,11.0,300.0,113.0,24.4,1003.8,-3.9,0.0,SE,4.5,6
2014,7,15,6,2.0,36.0,300.0,83.0,22.6,998.4,20.1,0.0,NW,0.4,0
2017,1,29,17,4.0,9.0,300.0,69.0,-0.55,1027.25,-21.4,0.0,NE,3.1,7
2013,10,8,18,11.0,47.0,800.0,96.0,18.7,1009.1,12.9,0.0,SW,1.4,4
2016,11,11,6,3.0,69.0,2500.0,2.0,2.9,1008.8,-0.7,0.0,NNE,1.4,10
2015,9,19,15,2.0,12.0,200.0,99.0,28.5,1011.6,6.0,0.0,E,1.6,8
2013,9,21,6,1.0,57.0,600.0,1.0,18.2,1008.8,14.9,0.0,N,0.2,5
2016,5,31,13,15.0,30.0,1000.0,77.0,25.8,1006.5,3.7,0.0,S,1.5,4
2015,3,21,1,6.0,59.0,600.0,32.0,15.1,1012.0,-14.2,0.0,NW,3.1,4
2016,6,20,19,2.0,26.0,800.0,216.0,27.6,997.2,20.9,0.0,E,1.8,0
2015,2,8,9,31.0,41.0,600.0,38.0,-6.0,1037.0,-27.8,0.0,N,3.2,9
2016,9,27,16,3.0,28.0,500.0,56.0,20.0,1017.75,2.7,0.0,NE,3.8,4
2016,5,17,21,11.0,59.0,600.0,148.0,25.5,1004.2,11.6,0.0,SSW,1.8,10
2015,1,29,17,2.0,18.0,300.0,64.0,2.0,1018.0,-18.7,0.0,NNW,3.2,1
2014,12,10,14,5.0,17.0,300.0,43.0,5.0,1025.0,-18.8,0.0,N,5.9,10
2015,5,22,23,14.0,72.0,1100.0,88.0,20.7,1004.9,10.8,0.0,E,1.0,8
2016,8,27,18,2.0,19.0,300.0,92.0,28.3,1006.2,9.6,0.0,W,1.0,3
2016,3,10,5,4.0,27.0,400.0,49.0,-1.3,1029.2,-22.6,0.0,NNW,1.8,7
2014,7,17,2,2.0,41.0,800.0,45.0,21.7,999.5,21.7,0.0,ENE,0.0,4
2016,10,8,11,3.0,11.0,300.0,54.0,14.1,1019.9,-2.0,0.0,NW,4.4,8
2016,1,7,5,8.0,22.0,400.0,52.0,-5.8,1030.2,-18.2,0.0,NNW,3.1,9
2014,8,6,20,2.0,39.0,300.0,86.0,26.7,999.1,11.6,0.0,NW,1.4,1
2015,3,20,22,10.0,133.0,900.0,2.0,10.9,1009.5,0.0,0.0,WNW,1.0,10
2014,11,24,6,13.0,27.0,400.0,38.0,4.0,1021.0,-13.8,0.0,N,2.4,1
2013,7,17,14,9.0,24.0,800.0,245.0,33.0,995.1,15.0,0.0,S,3.9,1
2016,8,25,15,2.0,12.0,200.0,42.0,28.3,1004.0,8.0,0.0,NNE,3.8,6
2015,2,1,19,11.0,55.0,700.0,23.0,-1.0,1021.0,-18.6,0.0,WNW,1.6,6
2015,3,18,20,13.0,66.0,800.0,77.0,9.3,1009.3,-7.4,0.0,SSE,1.0,7
2014,8,7,8,10.0,64.0,900.0,21.0,27.2,1004.7,20.3,0.0,NE,1.7,10
2015,12,15,20,2.0,16.0,300.0,42.0,-0.7,1024.8,-15.4,0.0,NW,4.0,3
2016,11,24,13,26.0,67.0,1100.0,17.0,3.7,1018.2,-14.1,0.0,ESE,2.1,1
2016,2,19,13,4.0,12.0,200.0,81.0,5.6,1024.0,-16.9,0.0,NW,5.3,7
2013,6,28,23,3.0,6.0,900.0,136.0,21.5,993.2,19.6,0.0,E,0.9,2
2014,1,3,18,21.0,80.0,1300.0,1.0,1.5,1017.2,-10.4,0.0,W,1.2,11
2015,8,4,19,5.0,41.0,700.0,170.0,30.0,996.0,20.8,0.0,SSW,2.7,4
2013,12,12,15,7.0,8.0,400.0,50.0,0.2,1017.7,-22.1,0.0,NNW,5.7,0
2013,9,25,17,5.0,38.0,400.0,72.0,21.7,1013.0,-0.4,0.0,SW,5.4,7
2016,1,13,12,19.0,17.0,800.0,56.0,0.9,1016.4,-25.4,0.0,WNW,3.2,5
2015,7,2,6,2.0,44.0,500.0,3.0,21.0,998.7,11.9,0.0,ENE,1.5,9
2016,6,26,5,3.0,46.0,500.0,57.0,21.5,999.4,13.9,0.0,WNW,0.6,5
2014,6,7,2,3.0,61.0,400.0,2.0,15.5,999.3,15.5,0.0,ENE,0.4,0
2014,8,18,16,5.0,22.0,1000.0,202.0,30.2,1004.1,19.3,0.0,SW,2.2,4
2013,12,25,20,1.0,3.0,200.0,69.0,-2.9,1023.2,-19.3,0.0,NNW,2.1,2
2014,8,17,22,3.0,69.0,900.0,98.0,24.2,1003.7,17.7,0.0,N,0.1,5
2015,8,29,12,3.0,29.0,600.0,155.0,29.0,1005.1,15.2,0.0,SSW,1.6,9
2014,6,30,19,10.0,31.0,600.0,192.0,31.5,1001.0,12.8,0.0,SSW,2.9,8
2015,4,28,22,4.0,49.0,1100.0,75.0,20.4,1009.4,12.4,0.0,SE,1.8,9
2017,1,29,11,3.0,9.0,300.0,47.0,-3.775,1019.25,-22.7,0.0,NW,10.1,5
2015,8,17,17,10.0,31.0,900.0,220.0,32.8,1000.9,17.8,0.0,SSE,2.3,4
2015,5,4,1,2.0,18.0,200.0,70.0,15.7,1013.9,-9.3,0.0,NW,2.2,11
2015,8,18,19,3.0,34.0,700.0,125.0,27.4,1005.1,14.8,0.0,ENE,2.0,0
2016,7,24,12,2.0,19.0,800.0,159.0,31.6,1000.6,24.7,0.0,ENE,1.7,0
2013,3,28,6,3.0,11.0,300.0,77.0,3.7,1019.3,-15.1,0.0,NNE,1.0,8
2015,6,2,0,6.0,106.0,1200.0,38.0,26.2,995.5,16.4,0.0,N,0.5,5
2014,7,12,22,3.0,66.0,300.0,86.0,24.3,996.7,17.1,0.0,W,0.2,0
2016,1,9,10,11.0,61.0,1000.0,13.0,-4.0,1022.3,-15.3,0.0,ENE,2.0,9
2015,10,24,7,3.0,65.0,1400.0,2.0,9.3,1018.7,8.2,0.0,ENE,1.9,4
2015,7,2,17,2.0,7.0,200.0,81.0,33.1,991.8,3.9,0.0,NNW,4.2,1
2014,9,1,17,3.0,16.0,1100.0,128.0,23.5,1006.6,21.8,0.1,NE,1.0,9
2013,9,23,3,12.0,90.0,1200.0,1.0,18.4,1008.1,17.7,6.7,WNW,1.0,11
2015,6,13,0,10.0,39.0,600.0,71.0,24.2,995.1,11.5,0.0,NNW,2.7,7
2015,5,30,8,4.0,43.0,600.0,61.0,22.9,1005.7,11.9,0.0,E,2.1,3
2016,8,9,10,8.0,19.0,1000.0,102.0,28.9,1000.3,15.8,0.0,E,1.3,6
2016,9,5,19,2.0,34.0,300.0,83.0,26.1,1004.4,16.4,0.0,SE,0.4,0
2014,5,14,23,4.0,77.0,400.0,36.0,14.0,998.9,1.9,0.0,NNW,0.3,7
2015,12,3,7,2.0,11.0,200.0,35.0,-1.1,1018.2,-17.3,0.0,NW,6.4,8
2014,10,6,17,2.0,31.0,300.0,95.0,18.6,1016.4,3.6,0.0,SSW,1.8,7
2013,9,6,10,14.0,40.0,1400.0,40.0,22.2,1013.0,17.1,0.0,WSW,1.1,3
2016,5,3,13,2.0,26.0,300.0,81.0,24.7,990.9,-9.0,0.0,N,5.5,1
2014,1,10,4,57.0,77.0,2600.0,1.0,-8.7,1024.9,-18.3,0.0,NE,1.4,4
2016,6,7,10,2.0,23.0,700.0,69.0,21.5,1009.1,13.7,0.0,SE,1.8,0
2013,8,31,20,1.0,42.0,500.0,70.0,23.4,1007.5,9.0,0.0,SW,1.7,9
2015,5,2,19,2.0,30.0,600.0,142.0,22.2,1004.4,12.4,0.0,SW,4.1,7
2013,8,25,1,1.0,14.0,500.0,49.0,19.9,1000.2,19.6,0.0,NW,1.2,6
2015,11,7,0,5.0,17.0,500.0,58.0,1.2,1025.5,-1.7,0.0,NE,2.5,0
2016,3,8,10,3.0,24.0,500.0,60.0,0.4,1029.0,-24.1,0.0,ENE,2.7,9
2015,7,7,19,4.0,29.0,1100.0,220.0,30.2,1003.5,14.7,0.0,SE,2.6,8
2015,5,17,3,7.0,42.0,900.0,64.0,16.8,993.4,12.1,0.0,NNE,1.0,6
2014,1,14,5,41.0,63.0,1100.0,1.0,-8.4,1028.1,-14.4,0.0,NE,1.3,0
2015,8,29,20,2.0,26.0,500.0,136.0,25.1,999.6,19.0,0.0,N,0.7,1
2017,1,21,13,3.0,9.0,500.0,55.0,-1.275,1020.0,-24.3,0.0,NW,9.0,5
2014,11,8,17,10.0,71.0,900.0,37.0,10.0,1030.0,1.1,0.0,WSW,1.5,10
2014,3,13,17,7.0,18.0,500.0,87.0,11.4,1012.9,-16.1,0.0,SW,5.3,3
2014,3,8,9,48.0,61.0,1500.0,18.0,3.3,1015.4,-4.9,0.0,SSE,3.0,6
2015,7,14,11,2.0,20.0,200.0,103.0,30.6,995.6,18.0,0.0,ESE,2.0,2
2015,5,29,3,10.0,95.0,1500.0,38.0,22.4,1000.3,14.8,0.0,E,1.1,0
2015,2,11,22,3.0,23.0,300.0,85.0,3.0,1016.0,-16.7,0.0,NW,1.3,9
2016,10,28,6,2.0,29.0,500.0,10.0,5.6,1022.8,3.4,0.0,NNE,0.4,9
2013,7,17,21,24.0,64.0,1000.0,141.0,28.4,999.5,19.9,0.0,SW,2.4,0
2014,6,13,22,2.0,51.0,600.0,72.0,20.1,999.4,16.1,0.0,N,2.0,1
2014,4,19,8,23.0,95.0,900.0,10.0,14.0,1017.8,1.9,0.0,SSW,1.3,3
2015,12,14,18,9.0,38.0,700.0,41.0,3.7,1018.9,-8.4,0.0,W,3.3,7
2016,8,23,4,7.0,36.0,800.0,58.0,26.0,1004.3,20.3,0.0,S,1.7,4
2013,12,3,19,31.0,42.0,1300.0,34.0,6.9,1012.4,-10.4,0.0,NW,1.0,2
2013,11,16,21,1.0,12.0,200.0,48.195,5.4,1020.7,-12.1,0.0,NNE,0.9,7
2016,3,25,9,3.0,24.0,500.0,60.0,10.0,1022.8,-11.4,0.0,N,3.9,5
2015,7,1,19,2.0,24.0,400.0,56.0,24.0,992.0,17.7,0.0,E,0.8,5
2016,6,18,15,8.0,17.0,600.0,224.0,32.1,999.6,15.1,0.0,SW,3.4,7
2017,1,22,18,16.0,56.0,1100.0,59.0,-0.925,1029.25,-19.6,0.0,SE,1.0,0
2015,9,1,14,2.0,11.0,1100.0,61.0,21.6,1009.0,18.0,0.1,NNE,1.4,11
2013,12,27,14,44.0,35.0,600.0,44.0,-1.3,1018.0,-18.9,0.0,ENE,1.2,6
2016,4,29,5,5.0,18.0,500.0,56.0,12.1,1002.4,4.3,0.0,WNW,1.1,6
2016,7,27,10,2.0,38.0,800.0,117.0,30.4,998.2,22.3,0.0,E,1.5,7
2013,10,20,19,7.0,82.0,800.0,7.0,12.0,1014.4,1.3,0.0,ENE,0.6,1
2013,3,23,16,17.0,41.0,800.0,66.0,12.0,1003.8,-8.5,0.0,W,4.0,5
2015,2,16,22,9.0,31.0,600.0,47.0,6.0,1010.0,-12.1,0.0,SE,1.1,5
2013,11,30,9,23.0,27.7155,400.0,28.0,8.0,1020.2,-14.9,0.0,NNW,3.9,7
2017,2,26,18,7.0,38.0,500.0,66.0,11.8,1018.7,-8.7,0.0,SW,3.2,4
2013,4,30,18,3.0,15.0,300.0,125.0,23.9,1008.0,-7.3,0.0,E,1.1,3
2016,7,6,0,3.0,39.0,1000.0,148.0,25.8,1005.3,18.5,0.0,SW,1.5,10
2014,5,20,8,9.0,34.0,800.0,74.0,25.6,999.2,9.4,0.0,ENE,2.5,11
2015,6,5,5,3.0,39.0,6000.0,34.0,14.3,993.1,13.3,0.0,SE,0.1,10
2015,7,31,3,2.0,25.0,500.0,62.0,21.7,1003.8,20.7,7.3,WSW,1.1,7
2014,7,9,22,2.0,37.0,900.0,48.0,22.7,993.5,18.2,0.0,WNW,1.3,6
2015,5,10,2,10.0,55.0,800.0,35.0,12.2,1012.7,4.9,0.0,E,0.7,0
2013,12,23,12,57.0,22.0,600.0,53.0,4.0,1021.9,-11.6,0.0,SSE,1.4,2
2016,4,18,0,2.0,5.0,200.0,88.0,11.4,1003.2,-0.8,0.0,WNW,2.0,2
2015,3,29,4,7.0,84.0,1400.0,2.0,8.9,1012.6,-0.2,0.0,E,0.7,9
2015,5,12,14,2.0,31.0,400.0,109.0,24.3,989.6,3.6,0.0,SSW,1.4,7
2016,1,30,15,27.0,46.0,1400.0,32.0,-2.8,1026.2,-19.7,0.0,SSE,1.3,5
2016,9,12,4,2.0,51.0,800.0,12.0,18.0,1013.2,16.7,0.0,ENE,1.0,11
2016,10,8,2,2.0,9.0,400.0,55.0,14.0,1015.4,-2.5,0.0,WNW,3.0,7
2017,1,13,10,6.0,22.0,400.0,50.0,-2.325,1017.0,-18.7,0.0,SE,3.4,6
2013,8,26,4,1.0,15.0,500.0,62.0,19.8,996.8,19.8,0.0,NW,1.4,6
2014,8,11,6,2.0,57.0,200.0,18.0,23.3,999.8,15.9,0.0,ENE,1.4,0
2014,10,3,12,3.0,47.0,1400.0,5.0,16.6,1008.3,10.7,0.0,SSE,3.0,1
2016,3,29,20,7.0,75.0,500.0,45.0,18.0,1010.9,-2.9,0.0,NE,1.6,8
2015,3,14,12,47.0,71.0,2400.0,22.0,4.7,1017.0,-5.1,0.0,ESE,1.8,0
2015,7,25,1,3.0,54.0,1600.0,33.0,24.5,997.5,20.4,0.0,SE,2.4,11
2016,5,7,12,2.0,6.0,200.0,85.0,24.2,1009.2,-7.0,0.0,S,2.7,6
2013,4,14,4,3.0,2.0,200.0,91.0,7.5,1005.1,-17.5,0.0,ENE,3.3,1
2016,4,22,15,2.0,12.0,200.0,106.0,24.4,1004.0,-10.6,0.0,NW,6.3,4
2014,1,13,17,71.0,62.0,700.0,32.0,-2.9,1020.5,-18.9,0.0,WNW,1.5,6
2015,9,5,14,2.0,19.0,600.0,100.0,18.0,1007.1,14.9,0.0,SSW,0.9,7
2015,9,18,19,2.0,45.0,600.0,75.0,24.4,1006.6,13.3,0.0,N,1.8,1
2013,11,23,22,34.0,53.0,700.0,9.0,7.1,1011.1,-5.9,0.0,N,1.2,2
2013,6,15,8,36.0,79.0,1200.0,26.0,23.9,1004.7,14.6,0.0,NE,1.1,7
2016,2,1,1,3.0,5.0,300.0,76.0,-5.5,1028.1,-18.2,0.0,N,1.2,2
2017,2,26,15,7.0,38.0,500.0,89.0,13.5,1018.5,-8.4,0.0,S,2.6,0
2015,5,5,21,2.0,61.0,400.0,47.0,21.6,1002.6,-6.2,0.0,NNE,1.2,9
2015,1,2,3,4.0,3.0,300.0,66.0,-1.0,1021.0,-19.6,0.0,NW,1.1,2
2014,2,17,23,27.0,91.0,900.0,21.0,-1.0,1030.1,-10.4,0.0,SW,3.4,10
2015,6,25,18,7.0,25.0,700.0,123.0,25.5,995.7,19.4,0.0,N,1.1,8
2016,5,16,14,2.0,28.0,200.0,123.0,31.0,1002.7,-0.7,0.0,WSW,3.3,8
2013,11,3,10,8.0,26.0,700.0,39.8412,16.1,1019.3,-1.1,0.0,N,5.0,4
2015,8,15,14,3.0,16.0,400.0,127.0,33.2,1000.3,11.7,0.0,NW,2.0,0
2014,9,21,8,8.0,22.0,1700.0,28.0,21.1,1009.2,12.0,0.0,ESE,1.9,2
2015,7,30,7,2.0,49.0,700.0,69.0,24.3,1000.2,22.4,0.0,NE,1.2,0
2016,3,5,2,2.0,13.0,400.0,72.0,9.3,1016.7,-15.3,0.0,NW,4.8,8
2015,5,20,23,3.0,26.0,400.0,86.0,23.8,1009.3,3.1,0.0,WSW,4.3,3
2013,4,20,13,16.0,33.0,700.0,110.0,15.2,1011.7,-0.6,0.0,SSW,2.0,5
2015,7,10,18,5.0,16.0,600.0,200.0,31.1,998.8,17.8,0.0,SSE,2.6,6
2013,9,14,16,13.1376,15.6028,200.0,91.0,30.6,1002.7,5.8,0.0,NNW,1.2,10
2015,7,29,23,2.0,33.0,500.0,85.0,27.3,992.0,22.9,0.0,NE,1.2,1
2015,2,5,8,5.0,70.0,1600.0,2.0,-6.0,1026.0,-15.0,0.0,E,1.1,6
2013,5,28,7,5.0,40.0,1300.0,2.0,18.0,999.0,17.4,0.0,WSW,1.7,11
2016,1,23,18,3.0,12.0,600.0,64.0,-15.8,1040.4,-33.2,0.0,NNW,4.4,9
2016,11,20,18,2.0,17.0,400.0,35.0,0.8,1015.6,-0.1,0.4,E,3.6,6
2013,5,10,11,3.0,22.0,400.0,82.0,25.9,998.4,3.8,0.0,ENE,2.8,8
2016,2,18,23,31.0,84.0,1100.0,5.0,4.3,1018.7,-14.0,0.0,ENE,0.9,10
2016,8,21,15,2.0,36.0,800.0,293.0,34.7,1002.4,22.1,0.0,SW,2.0,10
2016,7,3,0,5.0,44.0,900.0,126.0,27.7,1001.7,16.3,0.0,SSW,1.4,7
2016,3,5,9,2.0,15.0,400.0,66.0,8.1,1017.3,-14.9,0.0,NW,3.6,11
2016,9,11,8,2.0,17.0,600.0,22.0,18.4,1005.3,17.7,0.0,NW,0.8,6
2015,7,22,13,6.0,66.0,1000.0,151.0,29.0,999.5,20.4,0.0,E,1.7,0
2013,3,2,6,26.0,71.0,600.0,8.0,-2.5,1029.6,-17.7,0.0,NW,0.7,10
2014,7,14,9,4.0,49.0,600.0,46.0,31.0,999.0,15.8,0.0,NNE,1.6,3
